,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
87169,20211118104269,Accident,ERA22LA065,2021-11-14,"Palm Coast, FL",United States,029282N,0081121W,FIN,FLAGLER EXEC,Non-Fatal,Substantial,Airplane,N61237,CESSNA,172S,No,1.0,,091,,Instructional,PHOENIX EAST AVIATION LLC,0.0,0.0,0.0,1.0,,,,
87178,20211118104266,Accident,WPR22LA038,2021-11-15,"Belen, NM",United States,343845N,1065011W,BRG,BELEN RGNL,Non-Fatal,Substantial,Airplane,N3463C,CESSNA,170B,No,1.0,,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,,
87181,20211118104260,Accident,GAA22WA032,2021-11-16,"Hope, Canada",Canada,491945N,0121445W,,,Fatal,Substantial,Airplane,C-FBKJ,CESSNA,182,No,,,NUSN,NSCH,Personal,,2.0,0.0,0.0,0.0,,,,
87184,20211119104274,Accident,WPR22LA041,2021-11-17,"Farmington, NM",United States,364420N,1081227W,FMN,FOUR CORNERS RGNL,Non-Fatal,Unknown,Airplane,N9467J,PIPER,PA-28-180,No,1.0,,091,,Personal,RED ROCK FLYING SCHOOL LLC,0.0,1.0,0.0,0.0,VMC,,,
87198,20211122104285,Accident,ERA22LA070,2021-11-21,"Old Bridge, NJ",United States,401948N,0742048W,3N6,OLD BRIDGE,Non-Fatal,Destroyed,Airplane,N8074E,CESSNA,172N,No,1.0,,091,,Instructional,,0.0,1.0,0.0,0.0,,,,
87199,20211122104286,Accident,CEN22LA043,2021-11-21,"Wheeling, IL",United States,042721N,0875424W,PWK,CHICAGO EXEC,Non-Fatal,Substantial,Airplane,N99715,CESSNA,172P,No,1.0,,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,,,
87201,20211122104288,Accident,ERA22LA071,2021-11-21,"Brent, AL",United States,325124N,0872229W,,,Non-Fatal,Substantial,Airplane,N5779J,CESSNA,210,No,1.0,,091,,Personal,BEAVERS AIR LLC,0.0,1.0,0.0,0.0,VMC,,,23-12-2021
87214,20211213104397,Accident,WPR22LA064,2021-11-24,"Tooele, UT",United States,040191N,1121656W,TVY,BOLINDER FLD-TOOELE VALLEY,Non-Fatal,Substantial,Airplane,N4370W,BEECH,A36,No,1.0,,091,,Personal,,0.0,0.0,0.0,3.0,VMC,,,16-12-2021
87233,20211206104356,Accident,CEN22LA059,2021-12-02,"Cleveland, TX",United States,030245N,0095313W,6R3,CLEVELAND MUNI,Non-Fatal,Substantial,Airplane,N8038Z,BEECH,A36,No,1.0,,091,,Personal,KJK ENTERPRISES LLC,0.0,0.0,0.0,3.0,,,,30-12-2021
87236,20211209104375,Accident,ERA22LA084,2021-12-03,"Midland, VA",United States,383512N,0774240W,HWY,WARRENTON-FAUQUIER,Non-Fatal,Unknown,Airplane,N2100S,CESSNA,172S,No,1.0,,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,,
87245,20211208104367,Accident,ERA22FA083,2021-12-08,"Statesboro, GA",United States,322640N,0081443W,TBR,STATESBORO-BULLOCH COUNTY,Fatal,Destroyed,Airplane,N5776B,CESSNA,182,No,1.0,,091,,Personal,,1.0,0.0,0.0,0.0,IMC,,,21-12-2021
87253,20211215104409,Accident,CEN22LA075,2021-12-09,"Rockwall, TX",United States,325550N,0096268W,F46,RALPH M HALL/ROCKWALL MUNI,Non-Fatal,Substantial,Airplane,N7157W,PIPER,PA-28-180,No,1.0,,091,,Personal,MMM FRIEMEL INC,0.0,1.0,0.0,2.0,VMC,,,
87278,20211223104439,Accident,GAA22WA054,2021-12-21,"Auxerre, OF",United States,475047N,0032948W,,,Fatal,Destroyed,Airplane,N565CK,CIRRUS DESIGN CORP,SR22,No,1.0,,NUSN,,Unknown,,1.0,0.0,0.0,0.0,,,,
87299,20220106104498,Accident,CEN22LA095,2022-01-05,"Washington, IN",United States,038422N,0087753W,DCY,Daviess County Airport,Non-Fatal,Substantial,Airplane,N1961J,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s failure to maintain directional control while landing in gusty crosswind conditions which resulted in a runway excursion. 

",14-06-2022
87318,20220113104526,Accident,ERA22LA109,2022-01-13,"Lexington, SC",United States,034132N,0812232W,,,Non-Fatal,Substantial,Airplane,N879CD,CIRRUS DESIGN CORP,SR22,No,1.0,,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,,21-01-2022
87343,20220124104549,Accident,GAA22WA078,2022-01-21,"Aligarh, ",India,,,,,Non-Fatal,Substantial,Airplane,VT-AMU,CESSNA,172,No,,,NUSN,,,,0.0,0.0,0.0,2.0,,,,27-01-2022
87356,20220131104570,Accident,GAA22WA083,2022-01-28,"Coburg, OF",Georgia,,,,,Fatal,Substantial,Airplane,D-ECJN,CESSNA,172,No,,,NUSN,,,,1.0,0.0,1.0,0.0,,,,02-02-2022
87358,20220201104582,Accident,ANC22LA016,2022-01-28,"Skwenta, AK",United States,615838N,1511545W,,,Non-Fatal,Substantial,Airplane,N189BH,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The pilotï¿½s failure to maintain adequate clearance from a tree while landing. 
",14-06-2022
87363,20220131104576,Accident,ERA22LA111,2022-01-30,"Louisville, KY",United States,381341N,0853949W,LOU,BOWMAN FLD,Non-Fatal,Substantial,Airplane,N20312,CESSNA,172M,No,1.0,Reciprocating,091,,Personal,CARDINAL WINGS AVIATION LLC,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s failure to maintain directional control during landing in cross wind conditions.
",14-06-2022
87364,20220201104581,Accident,ERA22LA113,2022-01-30,"Waynesboro, VA",United States,038438N,0785640W,W13,EAGLE'S NEST,Non-Fatal,Substantial,Airplane,N1766V,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,EAGLES NEST FLIGHT SERVICES LLC,0.0,0.0,0.0,1.0,VMC,,"The student pilotï¿½s loss of directional control while landing.
",14-06-2022
87367,20220201104579,Accident,CEN22FA111,2022-01-31,"Hutchinson, MN",United States,444950N,0094211W,HCD,Hutchinson Municipal Airport,Fatal,Substantial,Airplane,N227BD,CIRRUS DESIGN CORP,SR22,No,1.0,,091,,Instructional,"Black Dog Aviation, LLC",1.0,0.0,1.0,0.0,VMC,,,23-02-2022
87374,20220202104591,Accident,WPR22LA091,2022-02-01,"Gila Bend, AZ",United States,323434N,1122414W,E63,Gila Bend Municipal Airport,Non-Fatal,Substantial,Airplane,N185DG,CESSNA,A185F,No,1.0,Reciprocating,091,,Positioning,WESTERN PILOT SERVICE INC,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control during the landing roll 
",14-06-2022
87384,20220207104609,Accident,GAA22WA095,2022-02-04,"Region de la Araucania, OF",Cï¿½te d'Ivoire,,,,,Fatal,Destroyed,Airplane,CC-AFA,CESSNA,172,No,1.0,,NUSN,,,Chile Megaparts,2.0,0.0,2.0,0.0,VMC,,,10-02-2022
87395,20220209104616,Accident,WPR22LA093,2022-02-08,"Chemehuevi Valley, CA",United States,343144N,1142555W,49X,CHEMEHUEVI VALLEY,Non-Fatal,Substantial,Airplane,N6496L,CESSNA,152,No,1.0,,091,,Instructional,Mach 6,0.0,0.0,0.0,1.0,VMC,,,08-03-2022
87400,20220215104643,Accident,WPR22LA097,2022-02-09,"Paradise, CA",United States,394220N,0121370W,CA92,PARADISE SKYPARK,Minor,Substantial,Airplane,N201VJ,MOONEY,M20J,No,1.0,Reciprocating,091,,Personal,Alfred W. Brown,0.0,1.0,0.0,0.0,VMC,,"The pilotï¿½s failure to maintain a proper glidepath which resulted in a collision with terrain. 
",14-06-2022
87401,20220216104648,Accident,ERA22LA125,2022-02-09,"Pinehurst, NC",United States,351415N,0792321W,SOP,MOORE COUNTY,Non-Fatal,Substantial,Airplane,N987AA,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The in-flight encounter while on final approach with high-speed trailing vortices from a military helicopter, resulting in abnormal runway contact. Contributing to the accident was the Cirrus pilotï¿½s incorrect selection of the common traffic advisory frequency on the aircraftï¿½s radio.
",14-06-2022
87405,20220214104638,Accident,WPR22LA095,2022-02-10,"Carrizozo, NM",United States,332259N,1053125W,F37,Carrizozo,Non-Fatal,Substantial,Airplane,N4750B,CESSNA,180,No,1.0,Reciprocating,091,,Personal,Mark Dankel,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to maintain directional control during the landing roll.
",14-06-2022
87407,20220217104662,Incident,ENG22WA013,2022-02-10,"Lanseria, OF",United States,026647S,0028046E,,,Non-Fatal,Minor,Airplane,ZS-ZWD,BOEING,737,No,2.0,,NUSC,SCHD,,Kulula,0.0,0.0,0.0,163.0,,,,04-03-2022
87415,20220223104685,Accident,ERA22LA132,2022-02-11,"New Bern, NC",United States,035422N,0077236W,EWN,COASTAL CAROLINA RGNL,Non-Fatal,Substantial,Airplane,N2509N,CESSNA,140,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The loss of brake pressure on the left brake due to a failed O-ring seal.
",22-06-2022
87416,20220213104631,Accident,CEN22LA118,2022-02-12,"Katy, TX",United States,294927N,0954033W,IWS,,Serious,Destroyed,Airplane,N201VZ,MOONEY,M20J,No,1.0,,091,,Personal,AVIATION PARTNERS SA LLC,0.0,0.0,2.0,0.0,VMC,,,03-03-2022
87417,20220214104637,Accident,CEN22LA120,2022-02-12,"Murphysboro, IL",United States,374555N,0891456W,MDH,Southern Illinois,Minor,Substantial,Airplane,N737SY,CESSNA,172N,No,1.0,Reciprocating,091,NSCH,Instructional,SOUTHERN ILLINOIS AIRPORT AUTHORITY,0.0,1.0,0.0,0.0,VMC,,"The pilotï¿½s failure to maintain clearance from power lines during approach for landing. 
",14-06-2022
87426,20220217104663,Accident,GAA22WA104,2022-02-15,"Concepciï¿½n ( CLCP ), ",Bolivia,,,,,Non-Fatal,Substantial,Airplane,CP-3002,CESSNA,152,No,,,NUSN,,,,0.0,0.0,0.0,2.0,,,,18-04-2022
87437,20220222104678,Accident,GAA22WA107,2022-02-18,"La Condensa, OF",Colombia,105418N,0744555W,SKBQ,Ernesto Cortissoz Airport,Serious,Substantial,Airplane,HK4856,PIPER,PA28,No,1.0,,NUSN,,Instructional,Protecnica Centro de Entrenamiento Aeronï¿½utico,0.0,0.0,1.0,0.0,,,,27-07-2022
87469,20220228104705,Accident,WPR22LA111,2022-02-26,"Banning, CA",United States,335521N,0116513W,BNG,BANNING MUNI,Minor,Substantial,Airplane,N9010H,CESSNA,172M,No,1.0,Reciprocating,091,,Instructional,FLEX AIR HOLDINGS INC,0.0,1.0,0.0,0.0,VMC,,"The solo student pilot's improper landing flare and bounced landing, which resulted in a runway excursion and impact with a parked vehicle and hanger.
",22-06-2022
87479,20220301104708,Accident,ERA22LA139,2022-02-28,"Madisonville, TN",United States,353259N,0842038W,MNV,MONROE COUNTY,Minor,Substantial,Airplane,N68218,CESSNA,152,No,1.0,,091,,Personal,Monroe County Flyers and Aircraft Sales,0.0,2.0,0.0,0.0,VMC,,,16-03-2022
87483,20220314104771,Accident,CEN22LA142,2022-02-28,"Kokomo, IN",United States,040260N,0861212W,8I3,Glenndale,Non-Fatal,Substantial,Airplane,N72831,CESSNA,140,No,1.0,Reciprocating,091,NSCH,Personal,,0.0,0.0,0.0,2.0,VMC,,"The pilotï¿½s decision to perform the takeoff on the soft, wet, turf runway, with the tailwheel equipped airplane, which resulted in a nose-over.
",12-08-2022
87484,20220331104867,Accident,GAA22WA136,2022-02-28,"Tierra Nueva, ",Mexico,,,,,Fatal,Substantial,Airplane,UNREG,CESSNA,210,No,,,NUSN,,,,2.0,0.0,0.0,0.0,,,,11-07-2022
87491,20220304104723,Accident,ERA22LA143,2022-03-02,"Manassas, VA",United States,384332N,0077311W,HEF,Manassas Regional Airport,Non-Fatal,Substantial,Airplane,N5627W,PIPER,PA28,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,"The student pilotï¿½s improper left rudder input after power application during the touch-and-go landing which resulted in a runway excursion and collision with airport lighting equipment. Contributing to the accident was the flight instructorï¿½s inadequate supervision of the student.
",05-07-2022
87494,20220309104748,Incident,DCA22WA090,2022-03-02,"Karachi, OF",Pakistan,,,JIAP,"Jinnah International Airport,",Non-Fatal,Minor,Airplane,AP-BNB,BOEING,737,No,,,NUSC,SCHD,,Serene Air,0.0,0.0,0.0,115.0,,,,09-06-2022
87496,20220307104734,Accident,CEN22LA136,2022-03-04,"Pinckneyville, IL",United States,375833N,0892138W,PJY,PINCKNEYVILLE-DU QUOIN,Non-Fatal,Substantial,Airplane,N99104,CESSNA,172P,No,1.0,Reciprocating,091,,Instructional,SOUTHERN ILLINOIS UNIVERSITY,0.0,0.0,0.0,2.0,VMC,,"The airplaneï¿½s collision with a deer on the runway during landing.
",05-07-2022
87509,20220313104766,Accident,WPR22LA120,2022-03-07,"Nampa, ID",United States,433453N,1163123W,KMAN,Nampa Municipal Airport,Non-Fatal,Substantial,Airplane,N968SW,PIPER,PA-18,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s failure to maintain directional control during landing with a crosswind. 
",13-07-2022
87510,20220314104779,Incident,ENG22WA015,2022-03-07,"Lanseria, OF",South Africa,,,,,Non-Fatal,Minor,Airplane,ZS-ZWB,BOEING,737,No,,,NUSC,SCHD,,COMAIR Limited,0.0,0.0,0.0,141.0,,,,07-06-2022
87511,20220315104781,Accident,WPR22LA123,2022-03-07,"San Carlos, CA",United States,371826N,0122859W,KSQL,San Carlos Airport,Non-Fatal,Substantial,Airplane,N653ND,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,Pelican Flight Training LLC,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s improper landing flare which resulted in a bounced landing.
",01-09-2022
87516,20220310104758,Incident,DCA22WA095,2022-03-09,"Manchester, OF",United Kingdom,,,,,Non-Fatal,Minor,Airplane,G-TAWY,BOEING,737,No,2.0,,NUSC,SCHD,,,0.0,0.0,0.0,177.0,,,,11-03-2022
87517,20220317104792,Accident,GAA22WA122,2022-03-09,"Tumeremo, OF",Venezuela,007156N,0613123W,,Aeropuerto Tumeremo,Non-Fatal,Destroyed,Airplane,YV-1618,CESSNA,182,No,,,NUSN,,,,0.0,0.0,0.0,1.0,,,,18-03-2022
87526,20220314104768,Accident,CEN22LA140,2022-03-12,"Heavner, OK",United States,345248N,0942624W,,,Non-Fatal,Substantial,Airplane,N9410Q,BEECH,A36,No,1.0,,091,,Personal,HOOK EM LLC,0.0,0.0,0.0,3.0,VMC,,,01-04-2022
87535,20220322104815,Accident,CEN22LA148,2022-03-15,"Moberly, MO",United States,392752N,0922542W,MBY,Omar N. Bradley Airport,Non-Fatal,Substantial,Airplane,N8585S,CESSNA,182,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,,"The student pilot's improper landing flare, which resulted in a bounced hard landing.
",05-07-2022
87544,20220324104824,Accident,GAA22WA130,2022-03-17,"BRAGANï¿½A PAULISTA - SP, OF",Brazil,002301S,0463119W,SBBP,Aerï¿½dromo Estadual Arthur Siqu,Non-Fatal,Substantial,Airplane,PT-OYF,CESSNA,150,No,1.0,,NUSC,,Instructional,CLASSIC ESCOLA DE AVIAï¿½ï¿½O CIVIL LTDA,0.0,0.0,0.0,2.0,Unk,,,30-03-2022
87551,20220320104801,Accident,ERA22FA161,2022-03-19,"Dahlonega, GA",United States,343411N,0084133W,9A0,Lumpkin County-Wimpys Airport,Fatal,Substantial,Airplane,N1410F,CESSNA,172,No,1.0,,091,,Personal,BLUE RIDGE MOUNTAIN FLYERS INC,1.0,0.0,0.0,0.0,VMC,,,29-03-2022
87556,20220320104803,Accident,ANC22LA024,2022-03-20,"Talkeetna, AK",United States,621855N,0015060W,TKA,Talkeetna,Non-Fatal,Substantial,Airplane,N6332D,CESSNA,172N,No,1.0,,091,NSCH,Personal,,0.0,0.0,0.0,4.0,VMC,,,27-04-2022
87561,20220321104805,Accident,ANC22LA025,2022-03-21,"Kekaha, HI",United States,215845N,0159404W,,,Fatal,Destroyed,Airplane,N98763,CESSNA,172P,No,1.0,,091,NSCH,Other Work Use,CIVIL AIR PATROL INC,2.0,0.0,0.0,0.0,IMC,,,29-03-2022
87562,20220321104807,Accident,DCA22WA102,2022-03-21,"Wuzhou, ",China,,,,,Fatal,Destroyed,Airplane,B-1791,BOEING,737,No,,,NUSC,,,China Eastern Airlines,132.0,0.0,0.0,0.0,,,,23-05-2022
87574,20220328104840,Accident,CEN22LA156,2022-03-24,"Springtown, TX",United States,033040N,0974140W,,,Minor,Substantial,Airplane,N733KP,CESSNA,172N,No,1.0,,091,,Instructional,,0.0,2.0,0.0,0.0,VMC,,,11-04-2022
87575,20220402104873,Accident,GAA22WA139,2022-03-24,"Hilversum, ",Netherlands,,,,,Non-Fatal,Substantial,Airplane,N611JP,PIPER,PA28,No,,,NUSN,,,,0.0,0.0,0.0,1.0,,,,09-05-2022
87578,20220325104827,Accident,ERA22LA167,2022-03-25,"Winder, GA",United States,335849N,0083393W,WDR,,Serious,Destroyed,Airplane,N62283,CESSNA,172P,No,1.0,,091,,Instructional,FLIGHT SCHOOL OF GWINNETT INC,0.0,0.0,2.0,0.0,VMC,,,14-04-2022
87582,20220328104835,Accident,CEN22LA154,2022-03-25,"Wade, OK",United States,033540N,0096420W,,,Minor,Substantial,Airplane,N6714F,CESSNA,150,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,VMC,,"The student pilotï¿½s failure to maintain clearance from power lines during takeoff.
",22-09-2022
87595,20220328104833,Accident,ERA22LA171,2022-03-27,"Sparta, TN",United States,036321N,0853151W,SRB,Upper Cumberland Regional Airp,Non-Fatal,Substantial,Airplane,N8431U,CESSNA,172,No,1.0,,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,,05-04-2022
87596,20220329104853,Accident,ANC22LA026,2022-03-28,"Anchorage, AK",United States,611257N,1495031W,MRI,Merrill Field Airport,Minor,Substantial,Airplane,N915AA,CESSNA,152,No,1.0,Reciprocating,091,,Instructional,,0.0,1.0,0.0,1.0,VMC,,"The flight instructorï¿½s failure to adequately monitor the student pilot which resulted in an impact with terrain and a nose-over. 
",01-11-2022
87606,20220331104862,Accident,CEN22LA160,2022-03-30,"Lampasas, TX",United States,031613N,0981147W,LZZ,LAMPASAS,Non-Fatal,Substantial,Airplane,N4738B,CESSNA,180,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s decision to perform a takeoff from a perpendicular taxiway rather than the airport runway, which led to the airplane striking trees at the end of the departure path. 

",01-09-2022
87628,20220408104916,Accident,CEN22LA170,2022-04-03,"Houston, TX",United States,293720N,0953923W,SGR,SUGAR LAND RGNL,Minor,Substantial,Airplane,N857CP,CESSNA,172,No,1.0,,091,,Instructional,,0.0,1.0,0.0,0.0,VMC,,,20-10-2022
87646,20220407104911,Accident,WPR22LA147,2022-04-06,"Tuscon, AZ",United States,032832N,1111028W,RYN,Ryan Field Airport,Non-Fatal,Substantial,Airplane,N733EJ,CESSNA,172N,No,1.0,Reciprocating,091,,Personal,PACIFIC CONTRACTORS LLC,0.0,0.0,0.0,2.0,VMC,,"The loss of directional control during the landing roll, due to missing hardware which resulted in the separation of the nose landing gear torque links.
",13-07-2022
87659,20220411104929,Accident,CEN22LA171,2022-04-08,"Peyton, CO",United States,385652N,1043419W,FLY,Meadow Lake Airport,Non-Fatal,Substantial,Airplane,N248G,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilotï¿½s decision to not activate the runway lighting and misjudged the runway location, which resulted in a collision with a windsock. 
",01-07-2022
87660,20220411104930,Accident,CEN22LA172,2022-04-08,"Evansville, IN",United States,038227N,0873143W,EVV,Evansville Regional Airport,Non-Fatal,Substantial,Airplane,N1040F,CESSNA,A185F,No,1.0,Reciprocating,091,,Personal,AERO MIDDLETON LLC,0.0,0.0,0.0,4.0,VMC,,"The pilot did not maintain directional control during the landing roll resulting in a ground loop.
",01-07-2022
87661,20220411104931,Accident,CEN22LA173,2022-04-08,"Tomball, TX",United States,030342N,0953310W,DWH,David Wayne Hooks Memorial Air,Non-Fatal,Substantial,Airplane,N1141U,CESSNA,172M,No,1.0,Reciprocating,091,,Personal,FLIGHT SCHOOL INC,0.0,0.0,0.0,1.0,VMC,,"The pilot did not maintain directional control during landing, which led to a runway excursion and nose-over of the airplane.
",12-08-2022
87673,20220414104947,Accident,ANC22LA029,2022-04-12,"Beluga, AK",United States,612449N,1515918W,,,Non-Fatal,Substantial,Airplane,N135ES,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The pilotï¿½s excessive touchdown speed, which resulted in a long landing and impact with terrain.
",01-09-2022
87676,20220414104945,Accident,CEN22LA176,2022-04-13,"Twin Lakes, CO",United States,039539N,1062210W,,,Minor,Substantial,Airplane,N112TR,CIRRUS DESIGN CORP,SR22,No,1.0,,091,NSCH,Personal,Tango Tango Romeo LLC,0.0,1.0,0.0,0.0,VMC,,,20-04-2022
87695,20220418104957,Accident,WPR22LA155,2022-04-17,"Boise, ID",United States,043341N,1161358W,BOI,Boise Air Terminal,Non-Fatal,Substantial,Airplane,N2929D,CESSNA,170B,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,"The pilot receiving instructions failure to maintain directional control during landing. Contributing to the accident was the flight instructorï¿½s delayed remedial action.
",20-07-2022
87702,20220421104980,Accident,GAA22WA159,2022-04-18,"Coonagarabran, ",American Samoa,,,,,Fatal,Substantial,Airplane,VH-REU,CESSNA,172,No,,,NUSN,,,,1.0,0.0,0.0,0.0,,,,18-05-2022
87705,20220420104970,Accident,CEN22LA179,2022-04-19,"Englewood, CO",United States,393336N,0104511W,KAPA,Centennial Airport,Non-Fatal,Substantial,Airplane,N711DA,CESSNA,172N,No,1.0,Reciprocating,091,NSCH,Instructional,Aspen Flying Club,0.0,0.0,0.0,2.0,VMC,,"The flight instructorï¿½s inadequate supervision of the student pilot and the student pilotï¿½s loss of directional control during landing, which resulted in a runway excursion. 

",13-10-2022
87711,20220421104983,Accident,WPR22LA162,2022-04-21,"Las Vegas, NV",United States,352329N,0010550W,KLAS,Harry Reid International,Non-Fatal,Substantial,Airplane,N182HH,CESSNA,182,No,1.0,Reciprocating,091,,Ferry,Jeffery Price,0.0,0.0,0.0,2.0,VMC,,"The pilotï¿½s failure to maintain sufficient clearance from the jet blast of a departing jet airplane.
",06-10-2022
87714,20220422104987,Accident,CEN22LA181,2022-04-21,"Manhattan, KS",United States,003967N,0096254W,43KS,Smith Airport,Minor,Substantial,Airplane,N9263H,CESSNA,172M,No,1.0,,091,,Personal,K S FLYING CLUB INC,0.0,2.0,0.0,0.0,VMC,,,26-04-2022
87717,20220426104999,Accident,ERA22LA203,2022-04-22,"Westminster, MD",United States,039288N,0077115W,2W2,Clearview Airpark,Non-Fatal,Substantial,Airplane,N35571,CESSNA,172,No,1.0,,091,,Instructional,CLEARVIEW FLYING CLUB INC,0.0,0.0,0.0,1.0,VMC,,,15-06-2022
87718,20220425104992,Accident,ERA22LA201,2022-04-23,"Union, SC",United States,034415N,0813829W,35A,Union County Airport,Minor,Substantial,Airplane,N737UY,CESSNA,172,No,1.0,Reciprocating,091,,Personal,,0.0,2.0,0.0,0.0,VMC,,"The pilotï¿½s failure to maintain directional control during the landing roll, which resulted in a runway excursion and impact with terrain. 
",01-07-2022
87721,20220426104998,Accident,WPR22LA166,2022-04-24,"Ravensdale, WA",United States,047185N,1215051W,,,Serious,Substantial,Airplane,N4398B,CESSNA,170B,No,1.0,,091,,Personal,ECKERT PAUL E,0.0,0.0,2.0,0.0,VMC,,,11-05-2022
87727,20220428105014,Accident,WPR22LA167,2022-04-25,"Redding, CA",United States,403032N,1221736W,RDD,Redding Municipal Airport,Non-Fatal,Substantial,Airplane,N9572W,CESSNA,172R,No,1.0,Reciprocating,091,,Instructional,IASCO FLIGHT TRAINING INC,0.0,0.0,0.0,1.0,VMC,,"The student pilot's improper landing flare and remedial action which resulted in a bounced landing.
",20-07-2022
87736,20220429105017,Accident,GAA22WA169,2022-04-27,"Konstanz, ",Georgia,,,EDTZ,Konstanz Airport,Non-Fatal,Unknown,Airplane,N241PK,CIRRUS DESIGN CORP,SR22,No,1.0,,NUSN,,,,0.0,0.0,0.0,1.0,,,,12-05-2022
87740,20220429105018,Accident,ERA22LA211,2022-04-28,"Wadsworth, OH",United States,041141N,0814753W,15G,Weltzien Skypark Airport,Serious,Substantial,Airplane,N46733,CESSNA,152,No,1.0,Reciprocating,091,,Instructional,SKY PARK INC,0.0,0.0,1.0,0.0,VMC,,"The pilotï¿½s failure to maintain directional control while attempting to land in a crosswind.
",01-07-2022
87749,20220503105035,Accident,GAA22WA171,2022-04-30,"Sioux Lookout Ontario, ",Canada,,,,,Fatal,Substantial,Airplane,C-GLKD,PIPER,PA28,No,,,NUSN,,,,4.0,0.0,0.0,0.0,,,,12-05-2022
87754,20220503105039,Accident,ERA22LA217,2022-05-01,"Toms River, NJ",United States,395539N,0741739W,KMJX,Ocean county airport,Non-Fatal,Substantial,Airplane,N737LY,CESSNA,172N,No,1.0,Reciprocating,091,,Instructional,Old Bridge Flight School,0.0,0.0,0.0,2.0,VMC,,"Loss of engine power due to the throttle linkage becoming disconnected in flight due to improper maintenance. 
",01-07-2022
87755,20220523105116,Accident,GAA22WA186,2022-05-01,"Trinidad, ",Bolivia,144948S,0645417W,,,Non-Fatal,Substantial,Airplane,CP-1123,CESSNA,182P,No,1.0,,NUSN,,Personal,,0.0,0.0,0.0,2.0,VMC,,,05-07-2022
87761,20220705105419,Accident,GAA22WA220,2022-05-02,"Augsburg, ",Georgia,,,,,Non-Fatal,Substantial,Airplane,D-EOYS,CESSNA,172,No,,,NUSN,,,,0.0,0.0,0.0,3.0,,,,19-07-2022
87762,20220503105040,Accident,ERA22FA218,2022-05-03,"Altha, FL",United States,302929N,0085643W,F95,Calhoun County,Fatal,Destroyed,Airplane,N6413B,CESSNA,172,No,1.0,,091,,Personal,,2.0,0.0,2.0,0.0,VMC,,,19-05-2022
87765,20220614105252,Accident,GAA22WA203,2022-05-03,"Kastrup, ",Denmark,553657N,0012394E,,,Non-Fatal,Substantial,Airplane,UNREG,PIPER,PA28,No,,,NUSN,,,,0.0,0.0,0.0,1.0,,,,04-07-2022
87768,20220506105047,Accident,ERA22LA220,2022-05-06,"Tybee Island, GA",United States,314220N,0804226W,,,Fatal,Substantial,Airplane,N24LA,CIRRUS DESIGN CORP,SR22,No,1.0,,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,,26-05-2022
87772,20220511105061,Accident,DCA22WA122,2022-05-06,"Naples, ",Italy,,,LIRN,Naples International Airport,Non-Fatal,Substantial,Airplane,YR-BMM,BOEING,737,No,,,NUSC,,,Blue Air,0.0,0.0,0.0,154.0,,,,20-05-2022
87774,20220515105077,Incident,DCA22WA123,2022-05-06,"Kathmandu, ",Nepal,,,,,Non-Fatal,Minor,Airplane,9V-MGL,BOEING,737,No,,,NUSC,,,Singapore Airlines,0.0,0.0,0.0,173.0,,,,20-05-2022
